decision,GENDER,RACE
Rejected,M,ASIAN
Waitlisted,M,ASIAN
Rejected,M,OTHER
Waitlisted,F,ASIAN
Rejected,M,ASIAN
Rejected,F,ASIAN
Rejected,M,BLACK
Admitted,M,ASIAN
Rejected,M,ASIAN
Rejected,M,OTHER
Rejected,M,ASIAN
Admitted,F,BLACK
Admitted,M,WHITE
Admitted,M,OTHER
Rejected,M,BLACK
Rejected,F,ASIAN
Rejected,M,WHITE
Admitted,M,ASIAN
Rejected,M,ASIAN
Rejected,M,ASIAN
Rejected,F,ASIAN
Rejected,M,ASIAN
Admitted,F,ASIAN
Rejected,F,ASIAN
Rejected,F,ASIAN
Admitted,M,ASIAN
Rejected,M,ASIAN
Rejected,M,WHITE
Rejected,M,ASIAN
Rejected,F,ASIAN
Rejected,M,ASIAN
Waitlisted,M,ASIAN
Rejected,M,ASIAN
Rejected,M,ASIAN
Rejected,F,WHITE
Rejected,F,WHITE
Admitted,F,ASIAN
Rejected,M,ASIAN
Rejected,F,ASIAN
Rejected,F,ASIAN
Admitted,F,ASIAN
Rejected,M,ASIAN
Admitted,M,WHITE
Rejected,M,ASIAN
Rejected,M,ASIAN
Admitted,M,HISPA
Rejected,F,ASIAN
Rejected,M,ASIAN
Rejected,M,OTHER
Rejected,M,ASIAN
Admitted,M,OTHER
Waitlisted,M,ASIAN
Rejected,F,ASIAN
Rejected,M,ASIAN
Rejected,M,ASIAN
Admitted,F,ASIAN
Rejected,M,ASIAN
Waitlisted,M,OTHER
Rejected,F,ASIAN
Admitted,M,WHITE
Waitlisted,M,ASIAN
Rejected,M,ASIAN
Rejected,F,WHITE
Rejected,F,WHITE
Rejected,M,OTHER
Rejected,M,ASIAN
Admitted,M,OTHER
Waitlisted,M,ASIAN
Rejected,M,OTHER
Waitlisted,M,ASIAN
Rejected,M,ASIAN
Rejected,F,ASIAN
Rejected,F,ASIAN
Rejected,M,ASIAN
Rejected,F,ASIAN
Admitted,M,ASIAN
Admitted,M,ASIAN
Rejected,M,ASIAN
Waitlisted,M,ASIAN
Rejected,M,ASIAN
Rejected,M,ASIAN
Rejected,M,ASIAN
Rejected,M,ASIAN
Rejected,M,ASIAN
Rejected,M,ASIAN
Rejected,M,OTHER
Waitlisted,F,ASIAN
Rejected,Unknown,OTHER
Waitlisted,M,ASIAN
Rejected,F,ASIAN
Rejected,M,WHITE
Rejected,M,ASIAN
Rejected,M,ASIAN
Rejected,M,WHITE
Rejected,M,ASIAN
Rejected,M,ASIAN
Rejected,M,ASIAN
Rejected,F,OTHER
Rejected,M,WHITE
Rejected,M,ASIAN
Rejected,M,ASIAN
Rejected,F,WHITE
Rejected,M,OTHER
Waitlisted,M,BLACK
Rejected,M,ASIAN
Rejected,M,HISPA
Rejected,M,OTHER
Rejected,M,BLACK
Admitted,Unknown,OTHER
Admitted,M,ASIAN
Rejected,M,ASIAN
Rejected,F,OTHER
Rejected,F,ASIAN
Rejected,M,ASIAN
Admitted,F,OTHER
Waitlisted,M,ASIAN
Rejected,M,OTHER
Rejected,M,ASIAN
Rejected,M,ASIAN
Rejected,M,ASIAN
Rejected,M,ASIAN
Rejected,M,ASIAN
Rejected,M,ASIAN
Admitted,M,OTHER
Rejected,F,WHITE
Rejected,M,ASIAN
Admitted,Unknown,OTHER
Rejected,F,ASIAN
Admitted,F,ASIAN
Rejected,M,ASIAN
Admitted,F,BLACK
Rejected,F,OTHER
Rejected,M,ASIAN
Rejected,M,ASIAN
Rejected,M,ASIAN
Rejected,F,ASIAN
Rejected,M,ASIAN
Rejected,F,ASIAN
Rejected,M,ASIAN
Rejected,M,ASIAN
Rejected,F,OTHER
Rejected,F,ASIAN
Rejected,M,ASIAN
Admitted,F,ASIAN
Rejected,Unknown,OTHER
Rejected,F,HISPA
Rejected,M,ASIAN
Rejected,M,ASIAN
Rejected,M,ASIAN
Waitlisted,M,ASIAN
Rejected,M,ASIAN
Rejected,M,ASIAN
Admitted,M,ASIAN
Rejected,M,ASIAN
Rejected,M,ASIAN
Waitlisted,F,OTHER
Rejected,M,OTHER
Rejected,M,ASIAN
Rejected,F,ASIAN
Admitted,F,ASIAN
Admitted,M,ASIAN
