user_id,applicant_id,total_time,GENDER,RACE
11,2,5.05,M,ASIAN
11,5,5.26667,M,ASIAN
11,8,9.83333,M,ASIAN
4,3,15.5667,M,OTHER
4,10,15.7333,M,OTHER
4,9,10.05,M,ASIAN
10,26,9.95,M,ASIAN
10,37,15.6333,F,ASIAN
10,47,2.85,F,ASIAN
10,51,5.95,M,OTHER
10,55,4.43333,M,ASIAN
10,63,4.18333,F,WHITE
10,72,3.86667,F,ASIAN
10,76,2.45,M,ASIAN
12,4,11.9333,F,ASIAN
5,15,12.75,M,BLACK
5,17,5.76667,M,WHITE
11,14,11.45,M,OTHER
11,28,2.43333,M,WHITE
11,36,2.43333,F,WHITE
11,44,6.45,M,ASIAN
11,45,4.3,M,ASIAN
11,48,9.95,M,ASIAN
11,49,2.46667,M,OTHER
5,20,6.58333,M,ASIAN
11,62,5.6,M,ASIAN
11,84,6.43333,M,ASIAN
5,27,13.6167,M,ASIAN
11,85,6.63333,M,ASIAN
11,87,3.23333,F,ASIAN
11,95,8.15,M,ASIAN
11,104,4.81667,M,BLACK
11,105,12.9167,M,ASIAN
11,106,7.71667,M,HISPA
11,109,5.2,Unknown,OTHER
11,110,3.65,M,ASIAN
11,111,19.1833,M,ASIAN
11,114,4.91667,M,ASIAN
11,116,7.18333,M,ASIAN
11,147,3.4,M,ASIAN
11,150,9.23333,M,ASIAN
11,155,2.45,M,ASIAN
11,161,4.1,M,ASIAN
11,7,15.2333,M,BLACK
10,86,7.03333,M,OTHER
10,88,3.86667,Unknown,OTHER
10,89,1.51667,M,ASIAN
10,91,10.0333,M,WHITE
10,94,3.05,M,WHITE
10,96,12.0333,M,ASIAN
10,97,4.7,M,ASIAN
10,102,1.26667,F,WHITE
9,1,10.5,M,ASIAN
9,11,12.9,M,ASIAN
9,14,13.7833,M,OTHER
9,29,10.3333,M,ASIAN
9,33,13.9333,M,ASIAN
9,34,12.2333,M,ASIAN
12,109,8.68333,Unknown,OTHER
12,23,13.95,F,ASIAN
12,8,9.71667,M,ASIAN
12,18,7.43333,M,ASIAN
3,2,6.01667,M,ASIAN
3,5,5.18333,M,ASIAN
3,13,4.56667,M,WHITE
12,19,6.76667,M,ASIAN
3,18,6.78333,M,ASIAN
12,21,11.0667,F,ASIAN
3,22,6.1,M,ASIAN
3,24,3.55,F,ASIAN
3,35,5.23333,F,WHITE
3,39,3.25,F,ASIAN
3,45,2.66667,M,ASIAN
3,46,6.38333,M,HISPA
3,53,3.31667,F,ASIAN
3,54,2.88333,M,ASIAN
10,103,7.56667,M,OTHER
10,104,2.61667,M,BLACK
10,113,3.13333,F,ASIAN
10,119,5.96667,M,ASIAN
10,132,1.56667,F,OTHER
10,135,2.35,M,ASIAN
10,138,2.95,F,ASIAN
10,148,4.33333,M,ASIAN
10,156,1.41667,F,OTHER
10,160,2.55,F,ASIAN
10,161,2.03333,M,ASIAN
10,1,1.6,M,ASIAN
10,2,1.38333,M,ASIAN
10,80,1.61667,M,ASIAN
5,34,10.8833,M,ASIAN
5,38,9.3,M,ASIAN
5,65,6.71667,M,OTHER
5,68,13.7667,M,ASIAN
5,156,9.41667,F,OTHER
6,3,9.68333,M,OTHER
6,4,4.66667,F,ASIAN
6,21,5.46667,F,ASIAN
6,157,2.15,M,OTHER
6,152,0.816667,M,ASIAN
6,140,3.2,M,ASIAN
6,126,1.93333,M,ASIAN
6,121,1.88333,M,ASIAN
6,116,2.75,M,ASIAN
5,160,8.53333,F,ASIAN
6,112,6.88333,F,CARRIB
6,106,3.03333,M,HISPA
6,98,1.96667,F,OTHER
6,97,3.58333,M,ASIAN
6,64,2.4,F,WHITE
6,59,4.63333,F,ASIAN
6,53,4.18333,F,ASIAN
6,50,4.46667,M,ASIAN
12,30,7.81667,F,ASIAN
6,32,3.96667,M,ASIAN
