user_id,applicant_id,rating_after,rating_before,rating_change
2,9,86,85,1
2,8,50,50,0
2,4,40,40,0
2,5,95,95,0
2,12,35,34,1
2,10,38,38,0
2,1,86,86,0
2,11,84,84,0
2,7,75,75,0
2,2,35,35,0
2,6,26,26,0
2,3,72,72,0
5,5,90,90,0
6,5,95,95,0
5,4,38,38,0
6,2,60,60,0
5,11,68,68,0
7,4,83,83,0
5,1,90,90,0
9,7,82,82,0
6,8,45,45,0
11,12,41,41,0
7,2,90,90,0
10,2,50,50,0
5,2,67,67,0
10,6,38,38,0
6,12,70,80,-10
11,2,67,67,0
11,5,100,100,0
11,7,89,89,0
10,10,90,90,0
11,10,27,27,0
11,9,91,91,0
11,8,67,67,0
11,6,59,59,0
10,11,100,100,0
11,1,98,98,0
7,10,82,82,0
11,11,100,100,0
11,4,55,55,0
11,3,88,88,0
10,5,99,99,0
5,7,91,91,0
10,4,61,61,0
6,7,90,90,0
10,8,42,42,0
10,9,91,91,0
6,6,40,40,0
13,5,77,77,0
7,5,96,96,0
10,1,90,90,0
10,7,86,86,0
15,11,97,97,0
10,12,54,54,0
12,9,79,79,0
9,6,72,72,0
10,3,90,90,0
7,8,68,67,1
15,9,83,83,0
5,10,54,54,0
13,4,55,55,0
13,9,61,61,0
13,10,50,50,0
9,8,87,87,0
7,12,65,65,0
14,11,66,66,0
13,7,82,82,0
18,5,90,90,0
9,9,89,89,0
6,1,98,98,0
13,11,100,100,0
20,1,56,56,0
18,8,62,62,0
7,6,64,64,0
16,4,70,70,0
20,11,79,79,0
13,12,26,26,0
7,1,96,96,0
17,4,80,80,0
9,5,91,91,0
20,9,29,29,0
18,10,69,69,0
5,6,44,44,0
13,1,62,62,0
23,7,90,90,0
13,2,47,47,0
20,12,26,26,0
12,7,65,65,0
20,7,27,27,0
18,12,81,81,0
14,1,97,97,0
22,7,80,80,0
14,5,94,94,0
20,8,42,42,0
9,11,93,93,0
18,6,36,36,0
14,7,94,94,0
18,7,75,75,0
14,3,95,95,0
20,5,53,53,0
17,7,94,94,0
16,10,70,70,0
15,7,84,84,0
13,8,55,55,0
7,9,66,66,0
27,5,90,90,0
25,2,63,63,0
9,12,61,61,0
12,10,62,62,0
18,1,79,79,0
20,10,19,19,0
5,8,38,38,0
13,6,41,41,0
9,4,65,65,0
18,9,92,92,0
20,4,21,21,0
28,6,98,98,0
8,2,35,35,0
20,6,19,19,0
26,11,85,85,0
18,4,24,24,0
7,7,85,85,0
29,9,89,89,0
20,2,19,19,0
25,5,100,100,0
15,10,63,63,0
18,2,81,81,0
20,3,53,53,0
30,6,32,32,0
18,11,53,53,0
13,3,87,87,0
17,8,74,74,0
14,4,8,8,0
23,9,95,95,0
16,7,85,85,0
9,1,75,75,0
32,12,50,50,0
26,2,50,50,0
28,5,91,91,0
7,11,92,92,0
23,12,60,60,0
15,2,65,65,0
17,1,100,100,0
9,10,59,59,0
18,3,29,29,0
23,1,96,96,0
8,4,35,35,0
9,2,47,47,0
22,2,40,40,0
6,4,75,75,0
25,4,56,56,0
7,3,88,88,0
14,9,90,90,0
26,10,55,55,0
23,4,55,55,0
16,11,95,95,0
14,10,13,13,0
9,3,78,78,0
12,12,57,57,0
8,11,100,100,0
5,12,67,67,0
6,9,99,99,0
14,8,93,93,0
34,12,57,57,0
30,12,25,25,0
15,5,95,95,0
23,2,55,55,0
29,4,100,100,0
26,5,85,85,0
17,2,81,81,0
25,9,90,90,0
22,6,45,45,0
14,12,4,4,0
26,12,45,45,0
40,8,37,70,-33
23,8,70,70,0
32,9,80,80,0
14,6,10,10,0
16,6,65,65,0
6,11,95,95,0
40,5,100,100,0
23,10,75,75,0
29,1,100,100,0
26,4,55,55,0
17,11,100,100,0
12,6,56,56,0
14,2,18,18,0
26,1,80,80,0
25,11,94,94,0
21,10,18,18,0
40,11,100,100,0
6,10,35,50,-15
23,11,95,95,0
32,11,100,100,0
15,6,52,52,0
40,6,19,65,-46
17,9,91,91,0
37,8,90,88,2
26,9,75,75,0
30,5,100,100,0
6,3,90,90,0
23,6,63,63,0
40,9,100,100,0
16,2,70,70,0
25,8,53,53,0
34,7,100,100,0
32,7,80,80,0
12,8,81,81,0
29,5,86,86,0
42,5,45,45,0
40,7,100,100,0
23,5,90,90,0
26,6,45,45,0
17,6,79,79,0
40,12,31,19,12
41,12,59,59,0
8,10,3,3,0
23,3,91,91,0
25,12,44,44,0
40,1,100,100,0
30,9,100,100,0
26,7,70,70,0
28,8,92,92,0
38,2,60,60,0
34,2,55,55,0
40,2,35,25,10
24,1,45,45,0
28,9,92,92,0
29,2,10,10,0
17,12,73,73,0
40,3,100,100,0
43,12,60,60,0
16,5,90,90,0
44,9,91,91,0
25,1,90,90,0
40,10,50,50,0
26,8,60,60,0
37,12,91,85,6
40,4,34,34,0
15,4,64,64,0
28,2,64,64,0
29,8,84,84,0
30,7,100,100,0
17,5,98,98,0
22,12,45,45,0
47,5,93,93,0
28,12,91,91,0
26,3,75,75,0
25,6,46,46,0
49,9,76,76,0
50,11,100,100,0
24,2,40,40,0
46,3,91,91,0
48,6,72,72,0
45,8,70,70,0
28,4,59,59,0
22,11,100,100,0
15,12,56,56,0
29,12,50,50,0
37,5,100,100,0
38,7,90,97,-7
50,7,90,90,0
8,8,45,45,0
34,5,100,100,0
17,10,75,75,0
24,9,88,88,0
52,3,84,84,0
30,2,40,40,0
15,1,98,98,0
25,10,67,67,0
44,8,60,60,0
12,11,83,83,0
51,1,84,84,0
47,3,94,94,0
16,1,95,95,0
29,6,78,78,0
50,2,55,55,0
33,3,95,95,0
48,8,80,80,0
17,3,95,95,0
54,11,85,85,0
52,8,95,95,0
33,1,90,90,0
15,8,63,63,0
33,7,85,85,0
54,5,85,85,0
33,6,35,35,0
53,5,90,90,0
25,7,85,85,0
33,2,30,30,0
43,11,100,100,0
33,10,30,30,0
32,5,85,85,0
29,11,79,79,0
47,10,58,58,0
28,1,71,71,0
15,3,91,91,0
54,10,75,75,0
33,8,35,35,0
57,1,96,96,0
50,3,98,98,0
33,11,95,95,0
34,11,95,95,0
50,12,17,17,0
30,1,100,100,0
56,10,98,98,0
45,3,90,90,0
33,4,35,35,0
24,10,26,26,0
29,7,100,100,0
33,9,85,85,0
56,1,93,93,0
54,6,66,66,0
56,8,70,70,0
33,5,90,90,0
51,11,92,92,0
32,1,96,96,0
42,2,52,52,0
33,12,30,30,0
56,9,84,84,0
47,2,42,42,0
38,11,100,100,0
56,5,66,66,0
42,10,50,50,0
52,9,27,27,0
46,6,75,75,0
56,3,66,66,0
49,11,74,74,0
54,1,85,85,0
57,7,91,91,0
56,11,74,74,0
50,8,70,70,0
56,7,83,83,0
56,6,96,96,0
48,2,82,82,0
16,12,70,70,0
56,2,48,48,0
12,4,68,68,0
8,7,80,80,0
44,1,91,91,0
54,12,66,66,0
25,3,84,84,0
56,12,53,53,0
29,10,61,61,0
56,4,81,81,0
37,6,88,80,8
32,4,35,35,0
42,8,69,69,0
52,7,96,96,0
54,9,85,85,0
44,7,80,80,0
53,3,85,85,0
50,10,59,59,0
48,9,93,93,0
24,7,66,66,0
51,12,37,37,0
24,5,66,66,0
54,3,80,80,0
47,7,86,86,0
52,2,80,80,0
21,8,74,74,0
59,1,93,93,0
42,12,71,71,0
42,9,63,63,0
54,7,80,80,0
50,6,51,51,0
34,6,63,63,0
30,10,27,27,0
28,7,75,75,0
48,10,69,69,0
54,8,76,76,0
32,6,20,20,0
52,10,80,80,0
38,12,70,70,0
29,3,100,100,0
62,5,95,95,0
49,10,37,37,0
42,7,60,60,0
50,5,100,100,0
54,2,70,70,0
37,11,100,100,0
53,12,70,70,0
5,3,55,55,0
64,3,77,77,0
59,2,70,70,0
28,11,66,66,0
45,1,95,95,0
42,11,55,55,0
48,1,94,94,0
60,6,80,80,0
47,9,89,89,0
58,2,74,74,0
16,8,80,80,0
54,4,70,70,0
50,1,100,100,0
62,2,65,65,0
61,7,75,75,0
32,10,30,30,0
28,10,80,80,0
43,9,90,90,0
27,12,50,50,0
52,12,68,68,0
28,3,62,62,0
59,11,93,93,0
12,2,69,69,0
50,9,98,98,0
62,12,65,65,0
52,1,88,88,0
59,10,72,72,0
32,8,35,35,0
60,9,100,100,0
62,8,69,69,0
48,12,85,85,0
8,5,92,92,0
47,8,32,32,0
21,6,40,40,0
50,4,75,75,0
52,6,51,51,0
41,3,67,67,0
59,12,67,67,0
62,11,95,95,0
38,3,100,100,0
22,10,35,35,0
44,5,91,91,0
32,2,35,35,0
27,8,60,60,0
46,7,91,91,0
62,1,95,95,0
8,6,3,3,0
52,5,91,91,0
59,5,94,94,0
63,5,80,80,0
64,10,77,77,0
41,5,68,68,0
62,7,80,80,0
48,3,92,92,0
60,5,100,100,0
53,8,70,70,0
62,6,65,65,0
59,9,93,93,0
47,11,90,90,0
62,9,80,80,0
27,1,85,85,0
59,6,64,64,0
32,3,75,75,0
52,11,90,90,0
62,3,85,85,0
51,5,89,89,0
16,9,85,85,0
38,5,91,91,0
59,8,67,67,0
62,10,80,80,0
27,2,55,55,0
48,5,94,94,0
45,10,75,75,0
62,4,85,85,0
52,4,83,83,0
41,7,56,56,0
61,10,70,70,0
59,3,95,95,0
57,12,54,54,0
30,8,28,28,0
59,7,85,85,0
60,1,100,100,0
47,12,38,38,0
41,1,56,56,0
59,4,64,64,0
27,11,95,95,0
38,10,71,71,0
